[nombre],[tipo],[vida],[velocidadAtaque],[nombreAtk1],[tipoAtk1],[dañoAtk1],[precisionAtk1],[nombreAtk2],[tipoAtk2],[dañoAtk2],[precisionAtk2],[nombreAtk3],[tipoAtk3],[dañoAtk3],[precisionAtk3],[nombreAtk4],[tipoAtk4],[dañoAtk4],[precisionAtk4],[efectoAtk4]

PIKACHU, ELÉCTRICO, 35, 90, IMPACTRUEENO, ELÉCTRICO, 40, 100, RAYO, ELÉCTRICO, 90, 100, PUÑO TRUENO, LUCHA, 75, 100, ATAQUE RÁPIDO, NORMAL, 40, 100, PARALIZAR
CHARMANDER, FUEGO, 39, 65, LLAMARADA, FUEGO, 110, 85, PUÑO FUEGO, LUCHA, 75, 100, LÁTIGO CEPA, PLANTA, 45, 100, SÍSMICO, LUCHA, 80, 100, QUEMAR
BULBASAUR, PLANTA, 45, 60, LÁTIGO CEPA, PLANTA, 45, 100, HOJA AFILADA, PLANTA, 55, 95, DRENAJE, PLANTA, 40, 100, RAYO SOLAR, PLANTA, 120, 90, ENVENENAR
SQUIRTLE, AGUA, 44, 43, HIDRO BOLA, AGUA, 40, 100, PISTOLA AGUA, AGUA, 40, 100, PUÑO HIELO, HIELO, 75, 100, HIDRO BOMBA, AGUA, 120, 80, PARALIZAR
EEVEE, NORMAL, 55, 65, PUÑO HIELO, HIELO, 75, 100, PUÑO FUEGO, FUEGO, 75, 100, PUÑO ELÉCTRICO, ELÉCTRICO, 75, 100, PSÍQUICO, PSÍQUICO, 90, 100, DORMIR
JIGGLYPUFF, NORMAL, 115, 45, CANTO, NORMAL, 40, 100, PUÑO SOMBRA, FANTASMA, 75, 100, PUÑO FUEGO, FUEGO, 75, 100, SUEÑO MÁGICO, PSÍQUICO, 0, 100, DORMIR
MEOWTH, NORMAL, 40, 90, MORDISCO, SINIESTRO, 50, 100, PUÑO HIELO, HIELO, 75, 100, PUÑO ACERO, ACERO, 60, 100, PUÑO ELÉCTRICO, ELÉCTRICO, 75, 100, PARALIZAR
MACHOP, LUCHA, 70, 70, PUÑO KARATE, LUCHA, 75, 100, PUÑO DINÁMICO, LUCHA, 100, 95, PUÑO FUEGO, FUEGO, 75, 100, PUÑO TRUENO, ELÉCTRICO, 75, 100, PARALIZAR
GASTLY, FANTASMA, 30, 80, BOLA SOMBRA, FANTASMA, 80, 100, PUÑO FUEGO, FUEGO, 75, 100, PUÑO PSÍQUICO, PSÍQUICO, 75, 100, MALDICIÓN, FANTASMA, 0, 100, DORMIR
PIDGEY, VOLADOR, 40, 56, ATAQUE RÁPIDO, NORMAL, 40, 100, VIENTO AFILADO, VOLADOR, 60, 100, PUÑO VOLADOR, VOLADOR, 75, 100, PUÑO FUEGO, FUEGO, 75, 100, QUEMAR
SANDSHREW, TIERRA, 50, 40, TERREMOTO, TIERRA, 100, 100, PUÑO AGUA, AGUA, 60, 100, PUÑO ELÉCTRICO, ELÉCTRICO, 75, 100, PUÑO FUEGO, FUEGO, 75, 100, QUEMAR
ABRA, PSÍQUICO, 25, 90, PSÍQUICO, PSÍQUICO, 90, 100, PUÑO FUEGO, FUEGO, 75, 100, PUÑO HIELO, HIELO, 75, 100, TELEQUINESIS, PSÍQUICO, 0, 100, DORMIR
DRATINI, DRAGÓN, 41, 60, PUÑO DRAGÓN, DRAGÓN, 90, 100, PUÑO HIELO, HIELO, 75, 100, VUELO, VOLADOR, 40, 100, GOLPE DRAGÓN, DRAGÓN, 90, 100, PARALIZAR
